module_slug,slot_key,local_filename,drive_url
modul-1,video_u11,,https://drive.google.com/file/d/1iOKobKgVTxMRFzjK4mLMfqPpsiopv640/view
modul-1,reading_u11,,
modul-1,video_u12,,https://drive.google.com/file/d/1RudlDmrX3ISw-d4z-flPli8vzQ2JWPUe/view
modul-1,reading_u12,,
modul-2,video_u21,,https://drive.google.com/file/d/1-p-ULfXnWEi6U8-3KFhY4z-nzrh6xbk1/view
modul-2,reading_u21,Modül 2/modul2 unite.docx,
modul-2,video_u22,,
modul-2,reading_u22,Modül 2/modul2 unite.docx,
modul-3,video_u31,,https://drive.google.com/file/d/1A9p6MPAehhr4T2T5mGqwsnyTp4EEqiyJ/view
modul-3,reading_u31,,
modul-3,video_u32,,https://drive.google.com/file/d/19yd_X47HsR8bafKpEH_aCEX6JiYV6ZMG/view
modul-3,reading_u32,,
modul-4,video_u41,Modül 4/3.mp4,https://drive.google.com/file/d/1RppZBAeZiv9cy38IE6Glp3IdqPnoa59k/view
modul-4,reading_u41,,
modul-4,video_u42,,https://drive.google.com/file/d/1-bKSB19QcJL6THuPoc9mDwvoymD-tiXi/view
modul-4,reading_u42,,
modul-5,video_u51,Modül 5/5.1. Çıktı Üretme (Aktüatörler)mp4.mp4,https://drive.google.com/file/d/11oaOsS1HaLsMJl-LMZZPwv8KCme3KP2K/view
modul-5,reading_u51,,
modul-5,video_u52,,
modul-5,reading_u52,,
